ORG_ID|NAME|ORG_NAME|POSITION|BIQ_PERSON_ID|GENDER
5000251|Asbjørn Berge|Freja Transport & Log.|directorship|265112|Mand
5000251|Christian Valdemar Scavenius Sonne-Schmidt|Freja Transport & Log.|directorship|309203|Mand
5000251|Jørgen Jørgensen Hansen|Freja Transport & Log.|Member of the board chairman|468580|Mand
5000251|Knud Borup Jensen|Freja Transport & Log.|directorship|502783|Mand
5000251|Søren Kristian Sørensen|Freja Transport & Log.|directorship|662612|Mand
5000251|Jesper Ellegaard Petersen|Freja Transport & Log.|Executive Post|935470|Mand
5000304|Finn Junge Andersen|3C Groups|directorship|349231|Mand
5000304|Jan Godballe Børjesson|3C Groups|directorship|425003|Mand
5000304|Niels Thorborg|3C Groups|directorship|574844|Mand
5000304|Finn Rossau Jensen|3C Groups|Member of the board chairman|1067588|Mand
5000827|Lars Hanseid|3M|directorship|516613|Mand
5000827|Ove Frederik Martin Storm|3M|Executive Post CEO|590144|Mand
5000827|Klaus Pommer Mortensen|3M|directorship|1169087|Mand
5000827|Dorte Andersen|3M|Directorship Employee representative|1450634|Kvinde
5000827|Ann Marie Galvin|3M|Member of the board chairman|1627259|Kvinde
5000827|Lone Lehmann Laurberg|3M|Executive Post|1883695|Kvinde
5000827|Morten Fasmer|3M|directorship|7384248|Mand
5000827|Ulla Charlotte Ravn|3M|Executive Post|7384249|Kvinde
5000984|Jeppe Laurids Hedaa|7N|Executive Post CEO|443899|Mand
5000984|Jesper Kolding|7N|directorship|446008|Mand
5000984|Preben Damgaard Nielsen|7N|Member of the board chairman|625112|Mand
5000984|Klaus Oberthanner Skjødt|7N|directorship|1795938|Mand
5000984|Ole Lønsmann Poulsen|7N|directorship|1932760|Mand
5000410|Jens Jørgen Enggaard|A. Enggaard Holding|directorship|437491|Mand
5000410|Jørgen Enggaard|A. Enggaard Holding|Member of the board chairman|465965|Mand
5000410|Lars Asger Enggaard|A. Enggaard Holding|Executive Post|513988|Mand
5000001|Ane Mærsk Mc-Kinney Uggla|A.P. Møller - Mærsk|directorship Vice|250603|Kvinde
5000001|Arne Karlsson|A.P. Møller - Mærsk|directorship|262837|Mand
5000001|Niels Jacobsen|A.P. Møller - Mærsk|directorship Vice|297514|Mand
5000001|Jan Leschly|A.P. Møller - Mærsk|directorship|426743|Mand
5000001|Jan Tøpholm|A.P. Møller - Mærsk|directorship|429307|Mand
5000001|Lars Christian Pallesen|A.P. Møller - Mærsk|directorship|515152|Mand
5000001|Leise Mærsk Mc-Kinney Møller|A.P. Møller - Mærsk|directorship|526918|Kvinde
5000001|Michael Pram Rasmussen|A.P. Møller - Mærsk|Member of the board chairman|554525|Mand
5000004|Trond Ødegård Westlie|Mærsk Olie og Gas|Executive Post|684197|Mand
5000001|John Bond|A.P. Møller - Mærsk|directorship|1592142|Mand
5000001|John Axel Poulsen|A.P. Møller - Mærsk|Directorship Employee representative|1592143|Mand
5000001|Erik Rasmussen|A.P. Møller - Mærsk|Directorship Employee representative|1863256|Mand
5000001|Robert John Routs|A.P. Møller - Mærsk|directorship|1863257|Mand
5000001|Claus Michael Valentin Hemmingsen|A.P. Møller - Mærsk|Executive Post|1000560|Mand
5000004|Jakob Bo Thomasen|Mærsk Olie og Gas|Executive Post|1727158|Mand
5000003|Kim Fejfer|Maersk Container Industry|Executive Post|1363482|Mand
5000001|Nils Smedegaard Andersen|A.P. Møller - Mærsk|Executive Post CEO|576977|Mand
5000001|Søren Skou|A.P. Møller - Mærsk|Executive Post|664570|Mand
5000627|Hans Uwe Paysen|Thermo Transit|directorship|384752|Mand
5000627|Jesper Hansen|Thermo Transit|directorship|445478|Mand
5000627|Jytte Paysen|Thermo Transit|directorship|463189|Kvinde
5000627|Klaus Paysen|Thermo Transit|directorship|501536|Mand
5000627|Per Conradsen|Thermo Transit|directorship|597637|Mand
5000315|Flemming Nyenstad Enevoldsen|Arovit Petfood|Member of the board chairman|233080|Mand
5000315|Claus Bundgaard Petersen|Arovit Petfood|directorship|311193|Mand
5000315|Gudrun Zornig Nissen|Arovit Petfood|Directorship Employee representative|370044|Kvinde
5000315|Poul Møller|Arovit Petfood|Executive Post CEO|739499|Mand
5000315|Jan Broe Hansen|Arovit Petfood|directorship|1700134|Mand
5000592|Hans Peter Nordstrøm Nissen|Bladkompagniet|directorship|385366|Mand
5000592|Christian Lanng Nielsen|Bladkompagniet|Executive Post CEO|929334|Mand
5000592|Bjarne Werner Munck|Bladkompagniet|directorship Vice|974365|Mand
5000592|Peter Nordgaard Hansen|Bladkompagniet|directorship|1349898|Mand
5000592|Stig Kirk Ørskov|Bladkompagniet|Member of the board chairman|1806886|Mand
5000592|John Resting|Bladkompagniet|directorship|1973027|Mand
5000592|Victor Emanuel Hansen|Bladkompagniet|directorship|16863353|Mand
5000906|Bent Brandt|Catodan Cateringudstyr|directorship|270607|Mand
5000906|Kirsten Kathrine Brandt|Catodan Cateringudstyr|directorship|496252|Kvinde
5000906|Mikael Brandt|Catodan Cateringudstyr|directorship|556231|Mand
5000906|Kristian Brandt|Catodan Cateringudstyr|directorship|1152160|Mand
5000059|Søren Greve|Dansk Shell|Executive Post CEO|661199|Mand
5000059|Henrik Elm Gulløv|Dansk Shell|directorship Vice|896046|Mand
5000059|Thomas Richard Karl Jenke|Dansk Shell|directorship|1519211|Mand
5000059|Charlotte Louise Julin Johansen|Dansk Shell|Directorship Employee representative|1519212|Kvinde
5000059|Mads Hummelmose|Dansk Shell|directorship|1769925|Mand
5000059|Allan Plesner Søndergaard|Dansk Shell|Directorship Employee representative|1769926|Mand
5000059|Per Andrew Reiff-Musgrove|Dansk Shell|Member of the board chairman|1956888|Mand
